,País,Casos totales,Nuevos casos,Casos activos,Recuperados,Casos críticos,Muertes hoy,Muertes
152,Jamaica,1146,17,770,362,0,0,14
153,Principado de Andorra,1024,19,875,96,0,0,53
154,Vietnam,993,4,533,435,0,0,25
155,Republica del Chad,971,1,868,27,0,0,76
156,Lesoto,946,0,271,645,0,0,30
157,Reunion,903,0,657,241,0,0,5
158,Santo Tome y Principe,885,0,826,44,0,0,15
159,Guyana,737,0,365,347,0,0,25
160,Crucero,712,0,651,48,0,0,13
161,San Marino,704,2,657,5,0,0,42
162,Trinidad yTobago,650,21,140,498,0,0,12
163,Belice,553,78,38,511,0,0,4
164,Guadalupe,510,0,289,206,0,0,15
165,Tanzania,509,0,183,305,0,0,21
166,Taiwan,486,0,457,22,0,0,7
167,Burundi,422,6,336,85,0,0,1
168,Comoras,406,0,393,6,0,0,7
169,Birmania,394,18,333,55,0,0,6
170,Islas Feroe,382,5,256,126,0,0,0
171,Papua Nueva Guinea,347,0,110,234,0,0,3
172,Mauricio,346,0,334,2,0,0,10
173,Martinica,336,0,98,222,0,0,16
174,Isla de Man,336,0,312,0,0,0,24
175,San Martin (Parte Holandesa),333,7,107,209,0,0,17
176,Islas Turcas y Caicos,315,17,56,257,0,0,2
177,Eritrea,304,0,261,43,0,0,0
178,Mongolia,298,0,281,17,0,0,0
179,Camboya,273,0,251,22,0,0,0
180,Gibraltar,223,1,197,26,0,0,0
181,Polinesia Francesa,211,0,68,143,0,0,0
182,Islas Caimanes,203,0,202,0,0,0,1
183,Bermudas,166,0,147,10,0,0,9
184,Barbados,153,0,122,24,0,0,7
185,Monaco,148,0,114,30,0,0,4
186,Butan,147,1,103,44,0,0,0
187,Brunei,143,1,139,1,0,0,3
188,Seychelles,132,5,126,6,0,0,0
189,San Martin (Parte Francesa),121,0,49,67,0,0,5
190,Liechtenstein,98,1,88,9,0,0,1
191,Antigua y Barbuda,94,1,88,3,0,0,3
192,San Vicente y las Granadinas,58,0,55,3,0,0,0
193,Macao,46,0,46,0,0,0,0
194,Puerto Rico,39,0,1,36,0,0,2
195,Curazao,36,0,31,4,0,0,1
196,Guam,32,0,0,31,0,0,1
197,Fiyi,28,0,20,7,0,0,1
198,Santa Lucia,26,0,25,1,0,0,0
199,Timor Oriental,25,0,25,0,0,0,0
200,Granada,24,0,24,0,0,0,0
201,Nueva Caledonia,23,0,22,1,0,0,0
202,Laos,22,0,19,3,0,0,0
203,Dominica,18,0,18,0,0,0,0
204,Islas Virgenes de los Estados Unidos,17,0,0,17,0,0,0
205,San Cristobal y Nieves,17,0,17,0,0,0,0
206,San Bartolome,16,0,9,7,0,0,0
207,Groenlandia,14,0,14,0,0,0,0
208,"Bonaire, San Eustaquio y Saba",13,0,7,6,0,0,0
209,Montserrat,13,0,12,0,0,0,1
210,Islas Malvinas,13,0,13,0,0,0,0
211,Santa Sede,12,0,12,0,0,0,0
212,Islas Virgenes Britanicas,11,0,8,2,0,0,1
213,Sahara Occidental,10,0,8,1,0,0,1
214,San Pedro y Miquelon,5,0,1,4,0,0,0
215,Anguila,3,0,3,0,0,0,0
